Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone Operative Temperature [C](Hourly),SPACE2-1:Zone Operative Temperature [C](Hourly),SPACE3-1:Zone Operative Temperature [C](Hourly),SPACE4-1:Zone Operative Temperature [C](Hourly),SPACE5-1:Zone Operative Temperature [C](Hourly)
 01/01  01:00:00,7.0125,19.49940224,19.45199584,19.38654575,19.44928865,20.69875862
 01/01  02:00:00,7.2,19.40252865,19.35810645,19.30931408,19.35518134,20.60053825
 01/01  03:00:00,6.8875,19.30016813,19.2626692,19.21257342,19.25997592,20.51878593
 01/01  04:00:00,6.325,19.19920886,19.16312982,19.11179323,19.16361136,20.45152705
 01/01  05:00:00,5.0375,19.07149125,19.04399483,18.98898313,19.04760675,20.39362562
 01/01  06:00:00,4.4,18.95655239,18.94020445,18.88184586,18.94226077,20.33773537
 01/01  07:00:00,5.4625,18.93774605,18.90887566,18.86718575,18.9055137,20.28793602
 01/01  08:00:00,5.4125,18.9522554,19.40073437,18.88117756,18.90758297,20.25316364
 01/01  09:00:00,6.75,19.2766958,22.16642642,19.15008526,19.13126437,20.26930984
 01/01  10:00:00,8.4875,20.01980544,24.92450494,19.6612026,19.57568435,20.38817572
 01/01  11:00:00,9.2125,21.06898267,26.62868068,20.23420014,20.11602644,20.60570964
 01/01  12:00:00,9.775,22.17735942,26.78781962,20.76279403,20.66292136,20.88084423
 01/01  13:00:00,10.375,23.44111372,26.00551309,21.18478922,21.14348573,21.19072272
 01/01  14:00:00,10.9125,24.81268244,24.79644851,21.48223582,21.54059464,21.49469426
 01/01  15:00:00,12.85,26.3743022,23.7683961,21.69466903,21.98380347,21.79840681
 01/01  16:00:00,13.9,26.91026403,23.08384269,21.68517798,22.61300718,22.05676764
 01/01  17:00:00,12.15,24.88631677,22.26323254,21.25459429,22.21204227,22.12340489
 01/01  18:00:00,11.1,22.87853704,21.48127184,20.84666713,21.47099784,21.96589572
 01/01  19:00:00,10.7875,21.68414138,20.9448999,20.55301545,20.94842902,21.7250839
 01/01  20:00:00,10.6,20.98593879,20.56420144,20.30642569,20.57060233,21.48646609
 01/01  21:00:00,9.5375,20.5061143,20.25604229,20.07449679,20.25963978,21.27366084
 01/01  22:00:00,9.2125,20.16348337,20.00534959,19.87440592,20.009389,21.09633197
 01/01  23:00:00,8.4,19.91083788,19.80376265,19.70533656,19.80496055,20.94553548
 01/01  24:00:00,7.1125,19.66592746,19.59937884,19.51212485,19.59577373,20.81490062
 01/02  01:00:00,8.075,19.52321085,19.47035475,19.40782906,19.46675123,20.69922867
 01/02  02:00:00,7.15,19.41522533,19.36346839,19.31457408,19.36324501,20.60428943
 01/02  03:00:00,5.7875,19.26393713,19.22320852,19.17136776,19.22441675,20.52266359
 01/02  04:00:00,4.5375,19.11814502,19.08848729,19.03565869,19.08945042,20.44548383
 01/02  05:00:00,4.9625,19.00996952,18.9796497,18.92902655,18.97724082,20.37070409
 01/02  06:00:00,6.6,18.98538437,18.93609977,18.89589014,18.93233768,20.3044204
 01/02  07:00:00,7.575,18.9822377,18.92719654,18.89888811,18.92557847,20.25450525
 01/02  08:00:00,7.425,18.99429544,19.41923116,18.91535244,18.94282793,20.22679204
 01/02  09:00:00,9.325,19.34557281,21.85969253,19.23621437,19.224329,20.26015939
 01/02  10:00:00,11.2875,20.10716557,24.44798353,19.82294621,19.74765059,20.40061024
 01/02  11:00:00,13.075,21.108331,25.90099832,20.47219677,20.3591711,20.62758846
 01/02  12:00:00,13.9,22.48245253,26.62409213,21.054998,20.95291675,20.9188671
 01/02  13:00:00,13.9,24.03521212,26.27081992,21.48071806,21.44123325,21.25367488
 01/02  14:00:00,13.9,25.08518463,25.13787408,21.86038335,21.92247885,21.59588997
 01/02  15:00:00,12.8375,26.05670005,24.00137667,21.95050907,22.23531826,21.8941198
 01/02  16:00:00,12.575,26.45464676,23.17721066,21.79711677,22.67453247,22.11007598
 01/02  17:00:00,11.7375,24.58270907,22.30367223,21.31866549,22.22373209,22.14689389
 01/02  18:00:00,10.7875,22.70670008,21.50355878,20.88407041,21.4694328,21.97392274
 01/02  19:00:00,11.2875,21.62104599,20.98332659,20.60700035,20.97127184,21.72797813
 01/02  20:00:00,11.7,21.00868827,20.62694628,20.38813126,20.62329131,21.49185466
 01/02  21:00:00,10.6375,20.56608594,20.33220215,20.16772809,20.33010578,21.28351599
 01/02  22:00:00,9.3125,20.21375988,20.07247185,19.95209872,20.07261369,21.1102293
 01/02  23:00:00,9.2125,19.97806713,19.87367383,19.78608164,19.87518301,20.96037189
 01/02  24:00:00,9.0875,19.80275865,19.71568681,19.65031324,19.716935,20.8310328
 01/03  01:00:00,9.2125,19.65592149,19.58581937,19.53360151,19.58501816,20.71962883
 01/03  02:00:00,9.775,19.55583133,19.49699502,19.45306353,19.49643004,20.62608284
 01/03  03:00:00,11.375,19.55616479,19.48223745,19.45441076,19.48299019,20.55658672
 01/03  04:00:00,13.2625,19.62831977,19.53795532,19.52504556,19.53994604,20.5174964
 01/03  05:00:00,13.2125,19.65899959,19.58492508,19.5672511,19.58602478,20.50325382
 01/03  06:00:00,12.425,19.64678455,19.59569803,19.56534656,19.59579353,20.50822714
 01/03  07:00:00,11.5125,19.61952993,19.58480762,19.54429576,19.58451971,20.52251563
 01/03  08:00:00,11.1,19.61980072,20.01123495,19.54976329,19.59105458,20.53711413
 01/03  09:00:00,11.475,19.909665,22.10737495,19.82433569,19.82536763,20.58946697
 01/03  10:00:00,12.7,20.55941858,24.30130926,20.34156979,20.28112976,20.72004435
 01/03  11:00:00,12.6125,21.41941281,25.79395337,20.85663232,20.77088735,20.92132378
 01/03  12:00:00,13.95,22.38523442,26.06202406,21.37712801,21.2974413,21.15810519
 01/03  13:00:00,15.375,23.76777484,25.76878754,21.83425405,21.79447792,21.4344074
 01/03  14:00:00,15.9125,25.09351054,24.91615713,22.15422405,22.20481338,21.73526818
 01/03  15:00:00,16.1,25.81356995,24.01641733,22.28464503,22.51972325,21.9996305
 01/03  16:00:00,14.725,25.66679255,23.2982263,22.12901838,22.78181635,22.16560499
 01/03  17:00:00,13.9,24.04034121,22.46102805,21.61780194,22.27744372,22.16552506
 01/03  18:00:00,13.2125,22.50914325,21.67346732,21.14619733,21.57869962,21.99492994
 01/03  19:00:00,12.425,21.58481398,21.13825673,20.80390813,21.08847026,21.77873572
 01/03  20:00:00,11.2,20.99691639,20.74340499,20.52318847,20.71711246,21.55905449
 01/03  21:00:00,10.225,20.56704379,20.41998382,20.26513612,20.405139,21.35078048
 01/03  22:00:00,9.3125,20.24742661,20.15736859,20.04259375,20.1483112,21.17152718
 01/03  23:00:00,8.9,20.00652449,19.94469473,19.8569039,19.94098149,21.0176836
 01/03  24:00:00,8.9,19.80773327,19.76881785,19.69984694,19.7696879,20.88540047
 01/04  01:00:00,8.525,19.6785207,19.64228362,19.58370423,19.64048589,20.7757924
 01/04  02:00:00,7.9875,19.57252733,19.53305568,19.48536825,19.53200113,20.68837867
 01/04  03:00:00,8.1125,19.47392451,19.43344122,19.38965642,19.43269509,20.6126746
 01/04  04:00:00,6.925,19.35999476,19.3243845,19.27911606,19.32413116,20.54402406
 01/04  05:00:00,5.0375,19.19376897,19.17337227,19.11860338,19.16989325,20.47946403
 01/04  06:00:00,5.4625,19.09543939,19.06916326,19.01978629,19.06535405,20.41300331
 01/04  07:00:00,5.4125,19.03476073,18.99612683,18.9560425,18.99565179,20.35123915
 01/04  08:00:00,6.0625,19.00441709,19.20602261,18.93420382,18.96325035,20.29762553
 01/04  09:00:00,7.7,19.24619564,20.6364743,19.21572341,19.20636838,20.2858186
 01/04  10:00:00,8.675,19.61919673,21.36551597,19.66194871,19.62592283,20.34606517
 01/04  11:00:00,8.9,20.16636343,22.086313,20.16642224,20.12470556,20.46351494
 01/04  12:00:00,9.5875,21.24233845,23.3848311,20.71317025,20.68184272,20.6631515
 01/04  13:00:00,10.375,22.31826717,23.73278513,21.16493323,21.16833756,20.92391865
 01/04  14:00:00,10.6,23.72893585,23.4248524,21.4577786,21.53396965,21.21188804
 01/04  15:00:00,10.225,23.96347418,22.79245724,21.51933807,21.74501604,21.47672783
 01/04  16:00:00,10.375,23.6028578,22.21600105,21.36394195,21.85736986,21.64062378
 01/04  17:00:00,10.225,22.32654895,21.48648843,20.90675036,21.34249845,21.64644847
 01/04  18:00:00,10,21.31529759,20.88591107,20.51535987,20.80962025,21.50920043
 01/04  19:00:00,9.625,20.73444417,20.48458032,20.24256593,20.44502604,21.33201234
 01/04  20:00:00,9.4,20.34931794,20.18569221,20.02164786,20.16450374,21.16638017
 01/04  21:00:00,9.0875,20.06684724,19.95829774,19.84570867,19.94596039,21.01470883
 01/04  22:00:00,8.9,19.85489831,19.78479611,19.70382125,19.77604686,20.87959371
 01/04  23:00:00,7.8375,19.66527957,19.62358233,19.55686602,19.6165749,20.76485495
 01/04  24:00:00,7.8875,19.52370214,19.48915884,19.4303169,19.48779455,20.66795934
 01/05  01:00:00,7.9875,19.43993477,19.40499988,19.35760673,19.40452058,20.58968201
 01/05  02:00:00,7.8,19.3597567,19.32726822,19.28939112,19.33005308,20.52833179
 01/05  03:00:00,6.05,19.24912409,19.22374199,19.18157606,19.22621858,20.47653215
 01/05  04:00:00,4.3125,19.09337916,19.08210737,19.02478335,19.07860248,20.42385575
 01/05  05:00:00,4.2125,18.98586441,18.97167365,18.9161708,18.96727184,20.36497518
 01/05  06:00:00,4.0875,18.90900544,18.88514806,18.83892476,18.88424435,20.30645434
 01/05  07:00:00,5.275,18.87022935,18.83408172,18.796073,18.83367259,20.2515477
 01/05  08:00:00,6.475,18.88996779,19.11029735,18.82614726,18.85178607,20.20779138
 01/05  09:00:00,7.0125,19.15782485,20.91758057,19.10645049,19.09915888,20.21587624
 01/05  10:00:00,7.2,19.6528545,22.29909637,19.58013045,19.53989682,20.30811128
 01/05  11:00:00,7.8875,20.57238162,24.15679217,20.12404827,20.06816659,20.48424623
 01/05  12:00:00,8.675,21.80955544,25.28786938,20.58602927,20.54379326,20.73860027
 01/05  13:00:00,9.2125,23.39011836,25.24979363,20.89073187,20.90407768,21.03561917
 01/05  14:00:00,10.15,25.19318816,24.33592183,21.16489098,21.26910519,21.35334825
 01/05  15:00:00,10.9125,26.58127017,23.406805,21.38618853,21.71167032,21.68988774
 01/05  16:00:00,10.4125,26.92802908,22.73689373,21.3457144,22.30912574,21.95793319
 01/05  17:00:00,10.375,24.85026001,21.9475495,20.95915667,21.95374891,22.02300707
 01/05  18:00:00,9.85,22.77789601,21.24648016,20.62663514,21.25975926,21.86078892
 01/05  19:00:00,9.0875,21.54035816,20.73757784,20.34672737,20.75744069,21.61815855
 01/05  20:00:00,8.9,20.82804267,20.3678896,20.11208179,20.38500471,21.38099963
 01/05  21:00:00,8.2125,20.34902351,20.07741744,19.90104813,20.08713705,21.17775834
 01/05  22:00:00,8.1125,20.0105499,19.85220145,19.72964697,19.85643362,21.00421759
 01/05  23:00:00,7.9875,19.77642273,19.67700924,19.58674637,19.68125436,20.85804731
 01/05  24:00:00,7.425,19.58049534,19.52229272,19.45296835,19.52909745,20.73857483
 01/06  01:00:00,7.2,19.44295025,19.40467033,19.34910616,19.41087484,20.64171935
 01/06  02:00:00,6.8875,19.33099419,19.30383284,19.25478555,19.30880776,20.56340592
 01/06  03:00:00,6.7,19.23613736,19.21703174,19.17069416,19.22080229,20.4984065
 01/06  04:00:00,6.7,19.17473952,19.15776748,19.11693356,19.16115747,20.44456365
 01/06  05:00:00,6.325,19.11668791,19.10229297,19.0641764,19.10591442,20.40123219
 01/06  06:00:00,6.1,19.08389339,19.05808056,19.0183151,19.05785491,20.36566256
 01/06  07:00:00,5.7875,19.03001326,19.0018446,18.96652817,19.00406203,20.33367485
 01/06  08:00:00,5.225,18.97999322,19.3543451,18.92479143,18.96208798,20.30130295
 01/06  09:00:00,5.375,19.23124638,21.63279003,19.16183267,19.16112191,20.3113301
 01/06  10:00:00,5.9125,19.78338837,23.62162073,19.61066856,19.56460514,20.408349
 01/06  11:00:00,6.475,20.38619753,24.17585279,20.13372476,20.06966563,20.57916703
 01/06  12:00:00,6.7,20.84815215,23.6531067,20.51910411,20.47837197,20.75172338
 01/06  13:00:00,7.0125,22.22333218,23.83155569,20.88332553,20.88248181,20.94287777
 01/06  14:00:00,7.575,23.81691881,23.37292639,21.13426931,21.21790465,21.20395003
 01/06  15:00:00,8.1125,25.1893965,22.66631653,21.21963493,21.50842911,21.47590196
 01/06  16:00:00,8.3,25.72358446,22.17812415,21.16356191,22.02266719,21.72625651
 01/06  17:00:00,8.3,23.87108466,21.48164248,20.73810867,21.58606882,21.79097548
 01/06  18:00:00,8.3,22.10821197,20.88734514,20.3992328,20.95224594,21.64208475
 01/06  19:00:00,8.3,21.1140978,20.46857264,20.16317134,20.52148696,21.42137159
 01/06  20:00:00,7.9875,20.52777435,20.15556874,19.94710834,20.18823935,21.22282311
 01/06  21:00:00,7.1125,20.11367365,19.90523932,19.75794203,19.92208085,21.05525878
 01/06  22:00:00,6.7,19.82316369,19.70737848,19.60156449,19.71548926,20.90667317
 01/06  23:00:00,8.7625,19.70138102,19.62882944,19.56328347,19.63221301,20.78168231
 01/06  24:00:00,9.3125,19.62754232,19.57641164,19.52892948,19.58124832,20.6899561
 01/07  01:00:00,9.2125,19.55145825,19.50965798,19.46437644,19.51403678,20.6287349
 01/07  02:00:00,9.0875,19.52691917,19.48819692,19.45170431,19.49236428,20.58600284
 01/07  03:00:00,7.15,19.43199958,19.41006657,19.36362916,19.4068852,20.55278864
 01/07  04:00:00,6.475,19.31742977,19.29999733,19.24668092,19.29919938,20.51585625
 01/07  05:00:00,7.0125,19.26621796,19.23692038,19.19355385,19.2414012,20.47374977
 01/07  06:00:00,7.8875,19.25734595,19.22658892,19.1937194,19.22508424,20.43329254
 01/07  07:00:00,7.9875,19.27577316,19.24768166,19.23277452,19.24951072,20.40347544
 01/07  08:00:00,8.4875,19.3092952,19.2976024,19.28699752,19.29461863,20.38635818
 01/07  09:00:00,8.9,19.43549552,19.53166283,19.49162946,19.48228183,20.39225222
 01/07  10:00:00,9.5875,19.69439024,20.01435453,19.8422402,19.82992585,20.44042054
 01/07  11:00:00,8.625,20.04739601,20.80894739,20.2385024,20.23408057,20.5451193
 01/07  12:00:00,7.8,20.03085581,20.68382218,20.24977511,20.28925696,20.65942553
 01/07  13:00:00,8.4875,20.42277791,20.95338375,20.5639654,20.5930766,20.75087758
 01/07  14:00:00,8.9,21.64181102,21.42339689,20.95291496,20.99593443,20.89881534
 01/07  15:00:00,9.5875,22.53171832,21.47593518,21.12537797,21.29167816,21.0981226
 01/07  16:00:00,9.625,23.61946102,21.42830733,21.11159887,21.74515476,21.28884206
 01/07  17:00:00,9.0875,22.60655664,20.99284355,20.68111469,21.35718232,21.39495296
 01/07  18:00:00,8.525,21.29282811,20.52120889,20.27895312,20.72490257,21.3190729
 01/07  19:00:00,7.9875,20.58578314,20.1814598,20.00345536,20.30463998,21.18065539
 01/07  20:00:00,7.425,20.1383042,19.92082297,19.7902063,19.99542572,21.04097306
 01/07  21:00:00,6.8875,19.82984077,19.71176042,19.61368074,19.75733645,20.91129063
 01/07  22:00:00,6.7,19.64117744,19.56555044,19.48826115,19.58969522,20.7955047
 01/07  23:00:00,6.325,19.49904695,19.46276545,19.40695703,19.47701235,20.6963362
 01/07  24:00:00,5.7875,19.37829676,19.3710821,19.32539763,19.3795738,20.61154066
 01/08  01:00:00,5.6,19.2981924,19.29613616,19.25635531,19.30084985,20.54254756
 01/08  02:00:00,5.225,19.21197828,19.22184972,19.18560718,19.22623103,20.48693
 01/08  03:00:00,5,19.14154739,19.15691275,19.12228378,19.16037056,20.43939647
 01/08  04:00:00,5,19.09362175,19.11008235,19.07778617,19.11214411,20.39953819
 01/08  05:00:00,4.625,19.03194377,19.05592149,19.02164833,19.05085009,20.3657487
 01/08  06:00:00,4.4,18.98089891,19.0040416,18.96829641,18.99607415,20.33584203
 01/08  07:00:00,4.0875,18.92791183,18.95624043,18.91959185,18.9469766,20.30904743
 01/08  08:00:00,3.9,18.92254706,19.34570506,18.91403243,18.93848715,20.2877209
 01/08  09:00:00,3.9625,19.21251043,22.05783588,19.15224063,19.14082561,20.3150466
 01/08  10:00:00,6.375,19.91789338,24.83557528,19.59942088,19.52800215,20.44029589
 01/08  11:00:00,8.55,20.98748935,26.64644665,20.1371369,20.0249592,20.65069506
 01/08  12:00:00,9.625,22.40273177,27.26548035,20.6610568,20.55658325,20.93462083
 01/08  13:00:00,11.875,24.08866769,26.68604256,21.15083069,21.09895437,21.25682601
 01/08  14:00:00,12.375,25.45661579,25.37597406,21.58485498,21.63565972,21.60479336
 01/08  15:00:00,13.25,26.62206437,24.22868409,21.86951216,22.1570469,21.92446082
 01/08  16:00:00,13.9375,26.68693483,23.44204842,21.88671486,22.70818755,22.15927734
 01/08  17:00:00,11.8375,24.59124118,22.46581901,21.37771924,22.20910248,22.19208225
 01/08  18:00:00,11.2875,22.75192432,21.61479588,20.93179025,21.47771326,22.01636397
 01/08  19:00:00,10.6375,21.61589763,21.02981401,20.61081706,20.95890476,21.76999537
 01/08  20:00:00,9.3125,20.8889478,20.58000849,20.30152773,20.54164911,21.52574713
 01/08  21:00:00,8.9,20.41603907,20.24586192,20.05451347,20.22401791,21.30142851
 01/08  22:00:00,9.2125,20.11631698,20.00992733,19.87617532,19.99757892,21.11780638
 01/08  23:00:00,9.4,19.91272627,19.83871403,19.74328343,19.83230626,20.96821462
 01/08  24:00:00,9.0875,19.75113785,19.69697788,19.62213977,19.69357442,20.84763427
 01/09  01:00:00,8.2125,19.60295338,19.56298861,19.49812937,19.56028342,20.74940728
 01/09  02:00:00,9.175,19.53134421,19.48524058,19.435849,19.48307878,20.66592119
 01/09  03:00:00,8.9375,19.49699828,19.44112105,19.40628236,19.44228651,20.5985391
 01/09  04:00:00,6.925,19.36076581,19.32240325,19.27681597,19.32133286,20.54175288
 01/09  05:00:00,6.7875,19.23483069,19.20235557,19.14875601,19.20310621,20.48221033
 01/09  06:00:00,6.8875,19.16546926,19.13218168,19.08966549,19.13559368,20.42546007
 01/09  07:00:00,6.325,19.09297995,19.05832436,19.01919285,19.06249279,20.37743232
 01/09  08:00:00,6.1,19.05565515,19.50788258,18.98598203,19.02338656,20.33777987
 01/09  09:00:00,6.6625,19.32131096,21.93190481,19.21337915,19.21370737,20.34602318
 01/09  10:00:00,7.125,19.92195062,24.16001786,19.66026736,19.60692434,20.44293052
 01/09  11:00:00,7.7,20.88134548,25.81060051,20.18829957,20.10483993,20.62547084
 01/09  12:00:00,8,22.16149532,26.52306137,20.67959989,20.60849918,20.89290057
 01/09  13:00:00,8.625,23.6389523,26.07152301,21.08315538,21.07569332,21.19593742
 01/09  14:00:00,9,24.64161505,24.82156966,21.42131412,21.50531008,21.50384876
 01/09  15:00:00,10.25,25.51492446,23.69643142,21.58695033,21.84642582,21.77125754
 01/09  16:00:00,10.8125,24.69968504,22.84922479,21.45743937,21.98736457,21.92269263
 01/09  17:00:00,10.2625,22.87138437,21.85680749,20.96633914,21.41964482,21.87988757
 01/09  18:00:00,10,21.65758605,21.13913493,20.59345059,20.90040951,21.69002852
 01/09  19:00:00,9.625,20.9670082,20.67763484,20.33883288,20.54518271,21.47418419
 01/09  20:00:00,9.0875,20.49579374,20.32230119,20.09937865,20.247674,21.27393198
 01/09  21:00:00,8.525,20.15056551,20.04308094,19.88745378,19.99991733,21.10160601
 01/09  22:00:00,7.9875,19.88462842,19.82292025,19.71256622,19.7961014,20.95127882
 01/09  23:00:00,7.1125,19.66178925,19.62245338,19.53195301,19.60776804,20.82167313
 01/09  24:00:00,6.7,19.46407169,19.44814782,19.37179182,19.44286214,20.70846232
 01/10  01:00:00,6.7,19.34015141,19.32794486,19.26485335,19.3259794,20.61319164
 01/10  02:00:00,6.7,19.25538432,19.23558248,19.17883463,19.23284199,20.53658546
 01/10  03:00:00,6.325,19.16691116,19.14778875,19.09591478,19.14607218,20.47403172
 01/10  04:00:00,6.1,19.09585202,19.07971766,19.03270405,19.07880552,20.418563
 01/10  05:00:00,6.1,19.0498707,19.03434572,18.99467612,19.03513242,20.37074593
 01/10  06:00:00,6.1,19.01423049,18.99749388,18.96166616,18.99878274,20.33221468
 01/10  07:00:00,5.0375,18.96681063,18.94936837,18.91252013,18.9498636,20.30169727
 01/10  08:00:00,5.15,18.94848777,19.4144053,18.8984646,18.93073342,20.2754367
 01/10  09:00:00,6.35,19.24002659,21.79291787,19.15990069,19.15004406,20.2934903
 01/10  10:00:00,6.8,19.83858972,23.84485362,19.62093352,19.57113167,20.39927527
 01/10  11:00:00,6.9875,20.74196423,25.24201167,20.2055452,20.12144304,20.59403022
 01/10  12:00:00,7.35,21.80000493,25.70072483,20.69888277,20.62940606,20.83687509
 01/10  13:00:00,8.0625,23.14294614,25.33751098,21.03470785,21.0302688,21.1177632
 01/10  14:00:00,8.3375,24.46367458,24.33218644,21.30498651,21.38873329,21.41106688
 01/10  15:00:00,9.175,25.84771009,23.35610973,21.44187506,21.73773139,21.70064152
 01/10  16:00:00,9.8875,26.38280058,22.68696926,21.38932514,22.30258682,21.94084818
 01/10  17:00:00,9.3125,24.41721037,21.88158616,20.95698402,21.88025838,21.99388678
 01/10  18:00:00,8.525,22.45171832,21.14005616,20.55106462,21.15441602,21.82874901
 01/10  19:00:00,7.9875,21.29483486,20.61826733,20.24701768,20.6385039,21.58240952
 01/10  20:00:00,7.425,20.60765644,20.23719015,19.99299768,20.2557573,21.34153346
 01/10  21:00:00,6.8875,20.14434383,19.93836554,19.76183561,19.94737802,21.13695299
 01/10  22:00:00,6.7,19.81602162,19.70425556,19.5743961,19.71061661,20.96268786
 01/10  23:00:00,6.7,19.59510299,19.53375471,19.44008987,19.53919966,20.81826303
 01/10  24:00:00,6.7,19.4585705,19.41827566,19.34869845,19.41871793,20.70292365
 01/11  01:00:00,6.0125,19.32549732,19.30258958,19.24354879,19.30332702,20.61033886
 01/11  02:00:00,5.9125,19.20953371,19.19781326,19.14121511,19.19813334,20.53023468
 01/11  03:00:00,5.7875,19.14002244,19.13100685,19.08196614,19.1315591,20.46363721
 01/11  04:00:00,4.5375,19.04395348,19.0409338,18.99038772,19.04088468,20.41062857
 01/11  05:00:00,4.5875,18.98550625,18.97257158,18.92573906,18.97338668,20.36307402
 01/11  06:00:00,4.3125,18.93048433,18.9140517,18.87186724,18.91134027,20.31932113
 01/11  07:00:00,4.5875,18.86949448,18.84899417,18.80698272,18.85152976,20.27516931
 01/11  08:00:00,4.625,18.85702095,19.17752428,18.81467443,18.84626878,20.23690481
 01/11  09:00:00,5.4,19.09177799,20.92153951,19.0652036,19.06368332,20.24469913
 01/11  10:00:00,6.0625,19.56181835,22.21244501,19.53191109,19.49375607,20.32741752
 01/11  11:00:00,6.0375,20.47128248,24.05448205,20.04055354,19.99155946,20.48351327
 01/11  12:00:00,6.625,21.76765622,25.36724104,20.57159413,20.52871557,20.74643815
 01/11  13:00:00,7.625,22.78656982,24.99469399,21.03005792,21.02679991,21.04646412
 01/11  14:00:00,8,24.40631437,24.1463613,21.30663925,21.38301576,21.33960346
 01/11  15:00:00,8.625,26.02833421,23.23977448,21.43039338,21.73205727,21.64437179
 01/11  16:00:00,9.625,26.75537126,22.62212734,21.36696889,22.34383065,21.91556773
 01/11  17:00:00,9.625,24.71166708,21.86698965,20.94429792,21.94687819,21.99130668
 01/11  18:00:00,9.4,22.75748285,21.20413354,20.58828563,21.25544182,21.8421271
 01/11  19:00:00,9.775,21.4503699,20.69847032,20.32363478,20.73299239,21.59034102
 01/11  20:00:00,10,20.80717808,20.39143615,20.15127826,20.41488206,21.36065976
 01/11  21:00:00,10,20.38722261,20.16539633,20.00012251,20.17733937,21.18229676
 01/11  22:00:00,10,20.12407766,20.00552911,19.89005569,20.01149582,21.04247546
 01/11  23:00:00,10,19.98186805,19.90479918,19.82577245,19.91083889,20.93480982
 01/11  24:00:00,10,19.86686291,19.83265634,19.77282273,19.8350687,20.85193555
 01/12  01:00:00,10,19.78757671,19.77522937,19.7257843,19.77566982,20.78818819
 01/12  02:00:00,10,19.7445279,19.72866833,19.68670552,19.73095147,20.7414285
 01/12  03:00:00,8.9375,19.66801646,19.65606801,19.61106945,19.65507779,20.70384623
 01/12  04:00:00,7.9875,19.5666529,19.55560713,19.50669433,19.55106289,20.66549194
 01/12  05:00:00,7.425,19.47406763,19.45965522,19.40658179,19.45450548,20.62099027
 01/12  06:00:00,6.8875,19.38682396,19.36787548,19.32298,19.36482471,20.57141042
 01/12  07:00:00,7.0125,19.3248391,19.29682295,19.25927976,19.29670859,20.51926159
 01/12  08:00:00,7.2,19.29846557,19.72072157,19.23797803,19.26754644,20.47160893
 01/12  09:00:00,6.8875,19.53126294,22.00993639,19.46208825,19.45795825,20.47140761
 01/12  10:00:00,7.0125,20.15409111,24.57608296,19.91124516,19.85328027,20.57021532
 01/12  11:00:00,7.575,21.16695059,26.48549448,20.40539077,20.31856695,20.76309962
 01/12  12:00:00,8.8,22.5755243,27.24487883,20.8940506,20.81099506,21.04269883
 01/12  13:00:00,10.15,24.20839038,26.70289159,21.28317413,21.26541189,21.37176438
 01/12  14:00:00,9.85,25.42850668,25.33930738,21.60641423,21.70137675,21.72051008
 01/12  15:00:00,11.8375,26.11496795,24.13853386,21.83150737,22.12596939,21.99991114
 01/12  16:00:00,11.925,24.64150309,23.17717638,21.64225842,22.09053508,22.10853033
 01/12  17:00:00,10.4125,22.71977384,22.05227912,21.08197005,21.43950469,22.00121779
 01/12  18:00:00,9.625,21.50768054,21.2256089,20.64703283,20.89744079,21.77164816
 01/12  19:00:00,9.4,20.86147464,20.74180566,20.38580039,20.55844471,21.53568994
 01/12  20:00:00,9.4,20.47478795,20.42825546,20.20324562,20.32506307,21.33024545
 01/12  21:00:00,9.4,20.21348429,20.20718609,20.05613424,20.14809103,21.17271725
 01/12  22:00:00,9.775,20.05774162,20.06503513,19.96334262,20.03177152,21.04976824
 01/12  23:00:00,10,19.96448893,19.96547695,19.8941651,19.94857096,20.95536729
 01/12  24:00:00,10,19.88773012,19.87913103,19.82370534,19.87186741,20.88130212
 01/13  01:00:00,9.625,19.80634192,19.80704435,19.75946377,19.80333198,20.81936568
 01/13  02:00:00,9.4,19.72649334,19.74349755,19.69898099,19.73987399,20.76608338
 01/13  03:00:00,9.4,19.68433541,19.70088778,19.66158396,19.69939063,20.72290507
 01/13  04:00:00,9.4,19.66773594,19.67542599,19.64221395,19.67762778,20.69057068
 01/13  05:00:00,9.775,19.67384763,19.6700199,19.64403382,19.67479138,20.66625481
 01/13  06:00:00,9.625,19.65900268,19.66022233,19.63353684,19.65960792,20.64814842
 01/13  07:00:00,9.4,19.6203309,19.6329589,19.60649214,19.63272479,20.63215087
 01/13  08:00:00,9.4,19.61533463,19.63358469,19.60644646,19.63135102,20.61805377
 01/13  09:00:00,9.4,19.69730159,19.79964853,19.75941865,19.77306735,20.61772523
 01/13  10:00:00,9.0875,19.82867096,20.02592388,19.96628204,19.97651288,20.64489431
 01/13  11:00:00,10.275,20.05857467,20.40254672,20.26586687,20.26654441,20.69510778
 01/13  12:00:00,11.475,20.82592032,21.56151616,20.84723442,20.83206483,20.80275404
 01/13  13:00:00,11.8875,22.39491292,22.87428096,21.35065722,21.36437324,21.02463697
 01/13  14:00:00,11.4375,23.99102109,23.06088584,21.6165432,21.71757072,21.32272673
 01/13  15:00:00,11.1,24.99091791,22.71588437,21.7080588,21.99989269,21.62198327
 01/13  16:00:00,10.4125,25.69637303,22.40013476,21.62474902,22.48933965,21.86791762
 01/13  17:00:00,10,23.987775,21.73505601,21.11835188,21.99040237,21.93889816
